Title,Category,Location_Address,Location_City,Location_Venue,Event_Start
Taman Rekreasi Sengkaling,Wisata,"Taman Rekreasi Sengkaling, Jl. Raya Sengkaling No.194, Sengkaling, Mulyoagung, Kec. Dau, Malang, Jawa Timur 65151, Indonesia",Malang,Rekreasi Sengkaling,07-Aug-2024
Stone Valley by HeHa,Wisata,"Stone Valley managed by HeHa, Pantai, Tepus, Gunung Kidul Regency, Special Region of Yogyakarta, Indonesia",Yogyakarta,Yogyakarta,25-Jun-2024
Sarae Hills,Wisata,"Jl. Pagermaneuh, RT.05/RW./07, Pagerwangi, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Bandung,Bandung,08-Jul-2024
Tiket Infinite World Jatim Park 3,Wisata,"Infinity Jawa Timur Park 3 Tickets, Jl. Ir. Soekarno No.144, Beji, Kec. Junrejo, Kota Batu, Jawa Timur 65236, Indonesia",Batu,Jawa Timur Park 3,21-Aug-2024
Papa Dino Bandung,Wisata,"Papa Dino Bandung (Kiara Artha Park, Parcel E), Jl. Banten, Kebonwaru, Batununggal, Bandung City, West Java 40272, Indonesia",Bandung,"Kiara Artha Park, Parcel E",21-May-2024
Fun Tech Plaza (Jatim Park 3) Tickets,Wisata,"Fun tech (Jawa Timur Park 3), Jl. Ir. Soekarno No.112, Beji, Junrejo, Kota Batu, Jawa Timur 65236, Indonesia",Batu,Jawa Timur Park 3,26-Nov-2024
Krakatau Park Lampung,Wisata,"Krakatau Park Lampung, Kawasan Pelabuhan Penyeberangan, Bakauheni, Kec. Bakauheni, Kabupaten Lampung Selatan, Lampung 35592, Indonesia",Lampung,Krakatau Park Lampung,07-Jul-2024
Fun & Fit Mall Centre Point Medan,Wisata,"Mall Centre Point L3A Jl. Jawa No. 8 Kel. Gang Buntu Kec. Medan Timur, Medan 20231",Medan,Mall Centre Point,05-Sep-2024
Asia Heritage Pekanbaru Tickets,Wisata,"Asia Heritage, Jl. Yos Sudarso No.KM.12, RW.05, Muara Fajar, Kec. Rumbai, Kota Pekanbaru, Riau 28265, Indonesia",Pekanbaru,Asia Heritage,25-Sep-2024
Sindu Kusuma Edupark Tickets,Wisata,"Jl. Jambon Kragilaan RT/RW 08/03 Sinduadi, Mlati, Sleman",Sleman,Sindu Kusuma Edupark,06-Jun-2024
Taman Buah Mekarsari Tickets,Wisata,"Jl. Raya Jonggol - Cileungsi KM.3, Mekarsari, Cileungsi, Bogor, Jawa Barat 16820, Indonesia",Bogor,Taman Buah Mekarsari,07-Sep-2024
Swing Bali ( Berayun diatas Sungai Ayung),Wisata,"Jl. Tangga Yuda, Bongkasa, Kec. Abiansemal, Kabupaten Badung, Bali 80571, Indonesia",Badung,Bali,14-Jun-2024
Taman Lembah Dewata Voucher,Wisata,"Taman Lembah Dewata, Jl. Raya Tangkuban Parahu No.KM.3,7, Cibogo, Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Bandung,Tama Lembah Dewata,27-Nov-2024
Safari Under The Stars Package Ticket,Wisata,"Jalan Elephant Safari Park Banjar Desa Taro Tegallalang, Taro, Tegallalang, Kabupaten Gianyar, Bali 80561, Indonesia",Gianyar,Safari Park,22-Jun-2024
WayKambang Edupark,Wisata,"Waykambang Edupark, Jl. Raya Reban - Blado No.km 4, Slambat, East Selopajang, Blado, Batang Regency, Central Java 51255, Indonesia",Batang,Waykambang Edupark,31-Jul-2024
BALI SWING Premium,Wisata,"Sidan, Kec. Gianyar, Kabupaten Gianyar, Bali 80515, Indonesia",Gianyar,Sidan,30-Jul-2024
BALI SWING Basic,Wisata,"Sidan, Kec. Gianyar, Kabupaten Gianyar, Bali 80515, Indonesia",Gianyar,Sidan,11-Jan-2024
Tiket Secret Journey Jatim Park 3,Wisata,"Secret Journey Jawa Timur Park 3 Tickets, Jl. Ir. Soekarno No.144, Beji, Kec. Junrejo, Kota Batu, Jawa Timur 65236, Indonesia",Batu,Jawa Timur Park 3,08-Apr-2024
Tiket Circus Magic Jawa Timur Park,Wisata,"Circus Magic Jawa Timur Park 3 Tickets, Jl. Ir. Soekarno No.144, Beji, Kec. Junrejo, Kota Batu, Jawa Timur 65236, Indonesia",Batu,Jawa Timur Park 3,07-Apr-2024
Swarnabhumi Harau Tickets,Wisata,"Swarna Bhumi Harau, Jl. Lembah Harau, Harau, Kec. Harau, Kabupaten Lima Puluh Kota, Sumatera Barat 26271, Indonesia",Lima Puluh Kota,Swarna Bhumi Harau,07-Apr-2024
Watersports BSK Tanjung Benoa,Wisata,"BASUKA Watersport, Jalan Pratama, Tanjung Benoa, Benoa, South Kuta, Badung Regency, Bali 80361, Indonesia",Badung,Basuka Water Sport,05-Jan-2024
Southlake Adventure Park Tickets,Wisata,"Southlake Adventure Park, Babelan Kota, Babelan, Bekasi, West Java 17610, Indonesia",Bekasi,Southlake Adventure Park,20-Dec-2024
"[FULL OFFER] Wild Experiences One place, 3 activities",Wisata,"Jl. Munduk Tengah, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",Badung,Bali,24-Nov-2024
