Title,Category,Location_Address,Location_City,Location_Venue,Event_Start
Kursus Pemulihan Cedera Olahraga,Olahraga,Jl. Cirebon No. 76A Medan,Medan,Soechi International,18-Nov-2023
Kursus Gizi dan Olahraga,Education,"Jl. Olo Ladang No.12, Olo, Kec. Padang Bar., Kota Padang",Padang,ReFIT Gym Padang,15-Nov-2023
Kopdar Komunitas Olahraga Ekstrem,Olahraga,"Jl. Ahmad Yani No.197, Wonodri, Kec. Semarang Sel., Kota Semarang",Semarang,The Blue Lotus Coffee House and Restaura,29-Oct-2023
Psikologi Olahraga: Mental Training dan Evaluasinya,Education,Jalan Sudirman Bandar Lampung,Lampung,Cafe Idola,20-Sep-2023
Kopdar Komunitas Olahraga Ekstrem,Bisnis,"Jl. Ahmad Yani No.197, Wonodri, Kec. Semarang Sel., Kota Semarang",Semarang,The Blue Lotus Coffee House and Restaura,17-Sep-2023
Diskusi Raga Membahas Olahraga,Olahraga,Jl. Singosari Raya No.28,semarang,lot 28 ,17-Sep-2023
Olahraga Hemat Untuk Gaya Hidup Sehat: Member Only,Olahraga,Karang Tengah,Lampung,EL's Cafe,13-Sep-2023
Workshop peran olah raga terhadap gaya berpikir (Membership),Olahraga,"Jl. Mandala Utara No.29C 17, RT.17/RW.4, Tomang, Kec. Grogol",jakarta ,Guten morgen coffee,31-Dec-2024
Workshop Fun Bike Car Freeday (Membership),Olahraga,"Jl. Pantai Mutiara No.57 Blok R, RT.10/RW.16, Pluit",Jakarta,Jetski Cafe,24-Dec-2024
Workshop Women Tennis Open (Membership),Olahraga,"Hotel Rasuna Icon Lt. 3A, Jalan Karet Pedurenan No.3, Setiabudi",Jakarta,Sky Garden Cafe,23-Dec-2024
Parahyangan Run Festival,Olahraga,"Jl. Raya Payangan, Kecamatan Payangan",Bali,GWK Bali,10-Aug-2024
Healthy Groove Zumba Party 2024.,Musik,"Jl. M.H. Thamrin No.10, RT.2/RW.1, Kb. Sirih, Kec. Menteng, Jakarta",Jakarta,Thamrin 10. Food & Creative park.,11-May-2024
Kursus Piano at Granada Musica Studio Bukit,Musik,"Jl. Padang Selasa No.36, RT.26, Bukit Lama, Kec. Ilir Bar. I",Palembang,Granada Musica Studio Bukit,18-Jan-2024
Kelas Music Song Writer,Musik,"Jl. Seteran Utara No.2D, Miroto, Kec. Semarang Tengah",Semarang,Allegro Music Course Semarang,08-Jan-2024
Let's Talk About Classic Music Vol.1,Musik,"Jl. Taman Saturnus II No.18, Manjahlega, Kec. Rancasari, Kota Bandung,",Bandung,Visinergi Studio,07-Jan-2024
Diles Music Entertainment: Package 8 GRANDE,Musik,DME Music,Banten,Coverage: Banten Jakarta Jabar Area,31-Jan-2024
Erching Music Course - Guitar,Musik,"Perum Kebon Palem, Bloj E.14, Jl. Jenderal Ahmad Yani Jl. Yaktapena I",Palembang,Erchink Music Course,15-Dec-2023
Kelas Music Instrumental Piano,Musik,"Jl. Seteran Utara No.2D, Miroto, Kec. Semarang Tengah, Kota Semarang",Semarang,Allegro Music Course Semarang,10-Dec-2023
Diles Music Entertainment: Package 7 MELODY,Musik,DME Music,Banten Jakarta Jabar,Coverage: Banten Jakarta Jabar Area,31-Dec-2023
Music Creative November,Musik,Kec.Baros Kota Sukabumi Jawa Barat,Sukabumi,Ds. Cibeureum Hilir ,26-Nov-2023
Jazz Music,Musik,"Mugassari, Semarang Selatan, Semarang City, Central Java 50249",semarang,Lapangan Tri Lomba Juang,24-Nov-2023
KOPDAR KOMUNITAS MUSIC INDIE SEMARANG,Musik,"Panembahan Senopati No.274r, Ngaliyan, Kec. Ngaliyan, Semarang",Semarang,CAFFE NIRWANA NGALIYAN,19-Nov-2023
How To Play Classical Music,Musik,Jl. Dr. Mansyur,Medan,The Mansyur Kitchen and Cafe,31-Oct-2023
Diles Music Entertainment: Package 7 MELODY,Musik,DME Music,Banten,Coverage: Banten Jakarta Jabar Area,31-Oct-2023
KOPDAR PENCINTA MUSIC CLASIC,Musik,"Jl. Adi Sumarmo, Klodran Indah, Klodran, Kec. Colomadu, Kota Surakarta",Surakarta,LOSKE CAFE,29-Oct-2023
KOPDAR KOMUNITAS MUSIC INDIE SEMARANG,Musik," Panembahan Senopati No.274r, Ngaliyan, Kec. Ngaliyan, Semarang",Semarang,CAFFE NIRWANA NGALIYAN.,29-Oct-2023
KOPDAR KOMUNITAS MUSIC RETRO,Musik,"Ngangkruk, Ngaru Aru, Kec. Banyudono, Kabupaten Boyolali",Boyolali,Dembakoe cafe,29-Oct-2023
Music Lessons (Member Only),Musik,Jalan R Sukamto,Palembang,Purawacaraka,21-Oct-2023
Profesional Private Music Lessons,Musik,Medan,Medan,Medan,20-Oct-2023
Workshop Learn Music Production,Musik,Jl Gurila No 28 Medan,Medan,Jl Gurila No 28 Medan,20-Oct-2023
Ngobrol House Music Vol.1,Musik,Jl. Taman Saturnus II No.12,Bandung,Sea Room,15-Oct-2023
EVENT PECINTA MUSIC JEPANG,Musik,LAWEYAN SURAKARTA,Surakarta,ZOLIA ZIGNA,15-Oct-2023
Jazz Music Class,Musik,Medan,Medan,Medan,08-Oct-2023
Music Talk,Musik,Bandung,Bandung,Taman Music,03-Oct-2023
KOPDAR KOMUNITAS MUSIC INDIE SEMARANG,Musik," Panembahan Senopati No.274r, Ngaliyan, Kec. Ngaliyan, Semarang",Semarang,CAFFE NIRWANA NGALIYAN.,30-Sep-2023
Saynora Music - Best Package,Musik,Jl. R. Sukamto, Palembang,Gold Dragon Palembang,30-Sep-2023
Diles Music Entertainment: Package 8 GRANDE,Musik,DME Music,Banten,Coverage: Banten Jakarta Jabar Area,30-Sep-2023
Diles Music Entertainment: Package 7 MELODY,Musik,DME Music,Banten,Coverage: Banten Jakarta Jabar Area,30-Sep-2023
Music Workshop,Musik,Medan,Medan,Medan,29-Sep-2023
Music Workshop,Musik,Jl Sentosa Medan,Sumatra Utara,Medan,30-Sep-2023
KOPDAR KOMUNITAS MUSIC INDIE SEMARANG,Musik,"l. Panembahan Senopati No.274r, Ngaliyan, Kec. Ngaliyan, Semarang",Semarang,CAFFE NIRWANA NGALIYAN,26-Sep-2023
Family Gathering Retro Music,Musik,Jalan Tiga Raksa 2 Kabupaten Tangerang,Tangerang,Caffe Multatuli,20-Sep-2023
Nge-Jam Bareng Cendana Music,Musik,"JHR3+793, Cupel, Negara, Jembrana Regency, Bali",Bali,CUPeL Sunset Coffee,17-Sep-2023
Music Classic Family Gathering,Musik,Jl Abung Tinggi Bandar Lampung,Bandar Lampung,Takoka Caffe,17-Sep-2023
Tiket Live Music Berkreasi Kreatif & Inovatif,Musik,Jawa Barat,Sukabumi,Citamiang Sukabumi,13-Sep-2023
Belajar Music Sejak Dini,Musik,Panam Cafe,Riau,Panam Cafe,13-Sep-2023
Seminar Music dan Tari Menyongsong Era baru,Musik,Jambi,Jambi,Jambi,13-Sep-2023
Accoustic Live Music,Musik,cisarua bogor,bogor,cisarua,11-Sep-2023
Music clinic,Musik,Jl sidorukun Medan,Medan,Griya,01-Sep-2023
Diles Music Entertainment: Package 8 GRANDE,Musik,DME Music,Banten Jakarta Jabar,Coverage: Banten Jakarta Jabar Area,31-Aug-2023
KOPDAR KOMUNITAS MUSIC METAL SOLO,Musik,"Warmindo riverside, Jl. Popda No.10, Nusukan, Kec. Banjarsari, SOLO",Surakarta,WARMINDO RIVERSIDE,29-Aug-2023
KOPDAR KOMUNITAS MUSIC INDIE SEMARANG,Musik,"Jl. Panembahan Senopati No.274r, Ngaliyan, Kec. Ngaliyan, Semarang",Semarang,CAFFE NIRWANA NGALIYAN,28-Aug-2023
Event Package of Saynora Music,Musik,"Lantai Ground, Jl. POM IX No.1, Lorok Pakjo, Kec. Ilir Bar. I",Palembang,Palembang Sport & Convention Center,25-Aug-2023
[VVIP] Video Game Concert,Musik,"Ciputra World, Retail Podium lt.11-13, Jl. Prof. DR. Satrio No.1",DKI Jakarta,Ciputra Artpreneur,25-May-2024
[Platinum] General Sale - Video Game Concert,Musik,"Ciputra World, Retail Podium lt.11-13, Jl. Prof. DR. Satrio No.1",DKI Jakarta,Ciputra Artpreneur,25-May-2024
[Gold] General Sale - Video Game Concert,Musik,"Ciputra World, Retail Podium lt.11-13, Jl. Prof. DR. Satrio No.1",DKI Jakarta,Ciputra Artpreneur,25-May-2024
[Silver] General Sale - Video Game Concert,Musik,"Ciputra World, Retail Podium lt.11-13, Jl. Prof. DR. Satrio No.1",DKI Jakarta,Ciputra Artpreneur,25-May-2024
Strategi Bisnis MALIQ & D'Essentials: Menciptakan Karya Romantika,Musik,"Jl. Radio Dalam Raya No.17, Gandaria Utara, Kec. Kby. Baru, JakSel",DKI Jakarta,Lithium Rooftop,01-May-2024
The Elite Show Case,Lainnya,jalan BSD City,Banten,ICE BSD Hall 9-10,05-Apr-2024
Halal Bihalal Kasual 2024 with MALIQ & D'Essentials,Musik,"Jl. Sunan Ngampel No.133C, Melawai, Kby. Baru, Jakarta Selatan",DKI Jakarta,Ruuang Kopi,28-Mar-2024
Carnival Ramadhan 2024 | Koplo,Musik,"Jl. Komp. Kostrad No.3, RT.1/RW.6, Petukangan Utara, Kec. Pesanggrahan",DKI Jakarta,Lapangan Kostrad Petukangan Utara,24-Mar-2024
Carnival Ramadhan 2024 | Reagge Night,Musik,Jl. Komplek Kostrad no.1,DKI Jakarta,Lapangan Kostrad Petukangan Utara,23-Mar-2024
PEACE,Musik,"Jl. Bakti No. 10, Kebayoran Baru, Jakarta Selatan ",Jakarta, & BRAVE: Women's Unity and Change - International Women's Day,09-Mar-2024
Festival Grup Band Papaloma,Musik,"Kompleks Meiko Abadi 7 Blok A1-A7 Jati II, Jimbaran Wetan Wonoayu",Sidoarjo,Papaloma Resto & Cafe,28-Feb-2024
Private Violin Player for Fine Dining (Price/hour),Musik,DKI Jakarta,Jakarta,Area Only,29-Feb-2024
Star Wars Fan Gathering,Entertainment,"Jl. Gaharu No.89, Gaharu, Kec. Medan Timur",Palembang,De Natio Guest House,21-Jan-2024
Bazar UMKM 7SKY 1,Bisnis,"Krodan, Maguwoharjo, Depok, Sleman Regency, ",DI Yogyakarta,LUK Coffee & Book - Maguwoharjo,21-Jan-2024
Dance Competition January,Musik,"Jl. Bunga Asoka Gg. Perintis, Asam Kumbang, Kec. Medan Selayang",Medan,Asoka Family Residence Syariah,16-Jan-2024
Theatre Day,Musik,"Jl. Tangkul I No.64D, Sidorejo Hilir, Kec. Medan Tembung, Kota Medan",Medan,Tangkul Residence,10-Jan-2024
Rental Minibus Hiace,Wisata,"Gg. Buntu, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali ",Bali,Bali Mutia Car Rental,02-Jan-2024
PAKET BIRTHDAY PARTY 5 JUTA,Education,"Jl. Sekar Jagad No.36, RT.02/RW.03, Pajang, Kec. Laweyan, ",Surakarta,FAST STUDIO,31-Dec-2023
Mini concert,Musik,"Jl. Gatot Subroto No.423-A, Maleer, Kec. Batununggal, ",bandung ,Jabrix Cafe,27-Dec-2023
Unlock Your Intellectual Potential,Bisnis,"Jl. Periuk No.74, Sei Putih Tengah, Kec. Medan Petisah, Kota Medan",Palembang,Vania Residence,24-Dec-2023
Theatre Live Show,Musik,"Jl. STM No.Kel, Sitirejo II, Kec. Medan Amplas, Sumatera Utara, 20217",Medan,STM Suite,23-Dec-2023
Don't Leave Your Comfort Zone,Musik,"Jl. Cardiac Center, Kemenangan Tani, Kec. Medan Tuntungan, Kota Medan",Medan,Medan,23-Dec-2023
Contemporary Dance,Musik,"Jl. Setia Luhur, Dwi Kora, Kec. Medan Helvetia, Kota Medan",Medan,Rosemary Residence Syariah,23-Dec-2023
Collectifun,Musik,"Jl. Bukit Pakar Timur 9, Ciburial, Bandung",Bandung,Kelesa Space,16-Dec-2023
Friday Dance Class,Musik,"Jl. Pancur Batu No.9, Sidodadi, Kec. Medan Tim., Kota Medan",Medan,Angelyn Residence,08-Dec-2023
Dance Competition November,Musik,"Jl. Bunga Asoka Gg. Perintis, Asam Kumbang, Kec. Medan Selayang",Medan,Asoka Family Residence Syariah,06-Dec-2023
Bazar Futsal,Olahraga,"Ciateul, Regol, Bandung City, West Java",Bandung,Lapangan Tegallega,30-Nov-2023
Family Fun Day,Education,Villa cisarua indah bogor ,Bogor ,Vila cisarua indah,26-Nov-2023
Family Gathering For Members,Education,Villa Camp Cisarua Bogor  ,Bogor,Cisarua ,26-Nov-2023
KOPDAR PECINTA MUSIK JEPANG,Bisnis," Kiringan, Kec. Boyolali, Kabupaten Boyolali",Boyolali,MACCHIATO CAFE,19-Nov-2023
KOPDAR KOMUNITAS INDIE ROCK SOLO,Musik,"Jl. Sekar Jagad No.36, RT.02/RW.03, Pajang, Kec. Laweyan,Surakarta",Surakarta,fast music studio,19-Nov-2023
PAKET SEWA STUDIO 1,Musik,"Jl. Sekar Jagad No.36, RT.02/RW.03, Pajang, Kec. Laweyan,",Surakarta,B MUSIK,31-Oct-2023
KOPDAR PECINTA MUSIK JEPANG,Musik," Kiringan, Kec. Boyolali, Kabupaten Boyolali",Boyolali,MACCHIATO CAFE,29-Oct-2023
KOPDAR KOMUNITAS INDIE ROCK SOLO,Musik,"Jl. Sekar Jagad No.36, RT.02/RW.03, Pajang, Kec. Laweyan,Surakarta",Surakarta,fast music studio,15-Oct-2023
KOPDAR KOMUNITAS INDIE ROCK SOLO,Musik,"Jl. Sekar Jagad No.36, RT.02/RW.03, Pajang, Kec. Laweyan,Surakarta",Surakarta,fast music studio.,30-Sep-2023
B Kursus Muzik,Musik,B Kursus Muzik,Online,B Kursus Muzik,30-Sep-2023
KOPDAR KOMUNITAS INDIE BLUES JOGJAKARTA,Musik," Tegalrejo Jl. Tulung Tamanmartani,Ringin Sari, Tamanmartani,Sleman",DI Yogyakarta,TEMATA CAFFE KALASAN,24-Sep-2023
Gathering Komunitas Pencinta Musik Rock,Musik,Jl Jatibarang 3 Indramayu Jawa Barat,Indramayu,Caffe Rock Unity,20-Sep-2023
KOPDAR KOMUNITAS INDIE ROCK SOLO,Musik,"Jl. Sekar Jagad No.36, RT.02/RW.03, Pajang, Kec. Laweyan,Surakarta",Surakarta,fast music studio,11-Sep-2023
B Kursus Muzik,Bisnis,B Kursus Muzik,Online,B Kursus Muzik,31-Aug-2023
KOPDAR KOMUNITAS INDIE ROCK SOLO,Musik," Jl. Sekar Jagad No.36, RT.02/RW.03, Pajang, Kec. Laweyan,Surakarta",Surakarta,FAST MUSIC STUDIO,30-Aug-2023
B Kursus Muzik,Bisnis,B Kursus Muzik,Online,B Kursus Muzik,31-Jul-2023
6 thn Anniversary GSX COMMUNITY NUSANTARA CHAPTER TANGERANG SELATAN,Lainnya,VILLA TAMAN SARI CISARUA PUNCAK BOGOR,Bogor,Puncak Bogor,29-Jul-2023
NORMAL PRICE - BANTEN OUTFIT MARKET FEST,Musik,"Jl. Citra Raya Boulevard No.1, Ciakar, Kec. Panongan, Kabupaten Tanger",Banten,Mal Ciputra Citra raya tangerang,16-Jul-2023
PRESALE 2 JOMBLO (1 TIKET) - BANTEN OUTFIT MARKET FEST,Musik,"Jalan Citra Boulevard No. KE0808, Cikupa, Mekar Bakti, Kec. Panongan",Banten,Mardigrass citra raya tangerang,16-Jul-2023
PRESALE 2 TONGKRONGAN (4 TIKET) - BANTEN OUTFIT MARKET FEST,Musik,"Jalan Citra Boulevard No. KE0808, Cikupa, Mekar Bakti, Kec. Panongan",Banten,Mardigrass citra raya tangerang,16-Jul-2023
PRESALE 2 BARENG SELINGKUHAN (2 TIKET) - BANTEN OUTFIT MARKET FEST,Musik,"Jalan Citra Boulevard No. KE0808, Cikupa, Mekar Bakti, Kec. Panongan",Banten,Mardigrass citra raya tangerang,16-Jul-2023
NGREMBAKA,Lainnya,"Jl. Raya Lawang, Malang",Malang,Cakra Buana Lawang,14-Jul-2023
[Tangerang - 1 Tiket] Summerlane Rock Summer Camp 2023,Musik,Jl. KH Hasyim Ashari No.41 C Pinang,Tangerang,basamocoffeespace,23-Jun-2023
[Tangerang - 2 Tiket] Summerlane Rock Summer Camp 2023,Musik,Jl. KH Hasyim Ashari No.41 C Pinang,Tangerang,Basamo coffee space,23-Jun-2023
SIZE 44  -  Special Edition EP 500 HIM Sneakers X Footwearemba,Education,Jakarta Selatan,DKI Jakarta,Online,30-Jun-2024
Traktir kita Capucino,Olahraga,Online,DKI Jakarta,Online,25-Oct-2024
SIZE 45  -  Special Edition EP 500 HIM Sneakers X Footwearemba,Education,Jakarta Selatan,DKI Jakarta,Online,30-Jun-2024
SIZE 46  -  Special Edition EP 500 HIM Sneakers X Footwearemba,Education,Jakarta Selatan,DKI Jakarta,Online,30-Jun-2024
Online Starter Class - 10 Mei 2024,Entertainment,Online,Online,Zoom Meeting,10-May-2024
Serum Salmon DNA + Laser Fractional,Entertainment,"Jl. Proklamasi No.10/1838 Blok J, RT./RW/RW.032/009, Lorok Pakjo",Palembang,HiSkin Palembang,31-Dec-2024
CALLING FEST TORAJA 2024,Musik,"Jl. Pongtiku No.33 , Makale Tana Toraja - Sulawesi Selatan", Sulawesi Selatan,Makale Tana Toraja,15-May-2024
Get Well Talk - GERD,Education,"Jalan Citra Boulevard No. KE0808, Cikupa, Mekar Bakti, Kec. Panongan",Banten,Mardigrass citra raya tangerang,03-May-2024
Movement 2024,Entertainment,"Jl. Pongtiku No.33 , Makale Tana Toraja - Sulawesi Selatan", Sulawesi Selatan,Makale Tana Toraja,13-May-2024
Gedebage Jazz Festival,Musik,"JALAN GRAND BULEVAR SUMMARECON BANDUNG 1, RANCABOLANG, GEDEBAGE, KOTA BANDUNG, JAWA BARAT, 40295",Jawa Barat,GRAND BULEVAR SUMMARECON BANDUNG ,12-May-2024
LAZE SHOWCASE - AGAR DIGDAYA,Musik,"Row9 Jl. Bulungan No.9, Kramat Pela, Kec. Kby Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia.",DKI Jakarta,Kota Jakarta Selatan,12-May-2024
CHUNKY BAG Workshop at GAFOY Summarecon Kelapa Gading,Budaya,Summarecon Mall Kelapa Gading,DKI Jakarta,Summarecon Mall Kelapa Gading,19-May-2024
Indonesia Website Awards x WebDevTalk 2024,Education,"Cyber 2 Tower, Lantai 29 JL. HR Rasuna Said X5 No. 13",DKI Jakarta,"Cyber 2 Tower, Lantai 29 JL. HR Rasuna Said X5 No. 13",10-Jun-2024
Indonesia Mom and Baby Expo IMOBY Surabaya 2024,Lainnya,"Ruko Mega Grosir Cempaka Mas Blok D, No. 16, Jl. Letjend Soeprapto, Kel. SUmur Batu, Kec. Kemayoran, Jakarta Pusat",DKI Jakarta,"Ruko Mega Grosir Cempaka Mas Blok D, No. 16, Jl. Letjend Soeprapto, Kel. SUmur Batu, Kec. Kemayoran, Jakarta Pusat",05-May-2024
Parenting with Heart - Mengelola Pikiran dan Perasaan Positif,Lainnya,"Jl. Merapi 18, Klaten, Jawa Tengah, Indonesia",Klaten,"Jl. Merapi 18, Klaten, Jawa Tengah, Indonesia",16-May-2024
Markhyuck Cafe Event,Lainnya,"Ciputra World, Retail Podium lt.11-13, Jl. Prof. DR. Satrio No.1",DKI Jakarta,Ciputra Artpreneur,03-Nov-2024
Sunset 5K Trail Run,Olahraga,"Ruko Permata No 7E, Jl. Curug Raya Jati Cempaka, Pondok Gede",Bali,"Ruko Permata No 7E, Jl. Curug Raya Jati Cempaka, Pondok Gede",20-Jul-2024
Online Class | Master of Ceremony with Rizqiani Putri,Bisnis,"Jalan Jatayu S-57, Rewwin, Desa Wedoro, Kecamatan Waru, Sidoarjo 61256",Sidoarjo," Desa Wedoro, Kecamatan Waru, Sidoarjo 61256",13-May-2024
Growbalization 2024: Sound of The Mighty Bhagawan,Musik,"Jl. Pantai Nyanyi, Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121",Bali,Pantai Nyanyi Beraban,12-Sep-2024
TEDxAvicenna Cinere School - JUST YOLO,Lainnya,"Jl. Flamboyan Blok F, Cinere, Depok, 16514, Jawa Barat.",DKI Jakarta,"Jl. Flamboyan Blok F, Cinere, Depok, 16514, Jawa Barat.",17-Jul-2024
Dog Yoga with Beyond Bliss 18 May 2024,Lainnya,Summarecon Mall Kelapa Gading,DKI Jakarta,Summarecon Mall Kelapa Gading,17-Jun-2024
Yoga Class,Olahraga,"Jl. Karang Mas, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Karang Mas Jimbaran,31-Dec-2024
HomeLife Expo (Indonesia),Lainnya,Springhill Office Tower 20th Floor,DKI Jakarta,Springhill Office Tower 20th Floor,30-Nov-2024
BEHAVIORAL EVENT INTERVIEW,Bisnis,"AXA Tower 45th Floor, CEO Suite, Jl. Prof. DR. Satrio Kav. 18, Jakarta Selatan",DKI Jakarta,"AXA Tower 45th Floor, CEO Suite, Jl. Prof. DR. Satrio Kav. 18, Jakarta Selatan",14-Aug-2024
Alcor Fest 2024,Bisnis,"Kota Kasablanka Mall Lantai 3 Jl. Casablanca Raya Kav. 88, RT.2/RW.14, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",DKI Jakarta,"Kota Kasablanka Mall Lantai 3 Jl. Casablanca Raya Kav. 88, RT.2/RW.14, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",14-Aug-2024
Fantasinesia SFX Prostetik Makeup FIlm Specialist Private Class or Camp,Budaya,"Jl. Parangtritis No.KM.6.5, Glondong, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",DI Yogyakarta,Institut Seni Indonesia Yogyakarta,31-Jul-2024
URINDO Senior Run,Olahraga,"Ruko Permata No 7E, Jl. Curug Raya Jati Cempaka, Pondok Gede",DKI Jakarta,"Ruko Permata No 7E, Jl. Curug Raya Jati Cempaka, Pondok Gede",22-Aug-2024
IABC Spring Mentorship 2024,Bisnis,"GEDUNG TOWER SOHO LT. 10 UNIT 6 ROSEVILLE SOHO, SUNBURST CBD LOT 1.8 RT.00 RW.00 LENGKONG GUDANG, SERPONG, KOTA TANGERANG SELATAN, BANTEN",DKI Jakarta,"GEDUNG TOWER SOHO LT. 10 UNIT 6 ROSEVILLE SOHO, SUNBURST CBD LOT 1.8 RT.00 RW.00 LENGKONG GUDANG, SERPONG, KOTA TANGERANG SELATAN, BANTEN",05-Jul-2024
WONDERFUL UNGASAN,Musik,LAPANGAN SEPAK BOLA BANTANG METIEM DESA UNGASAN,Bali,Kantor Desa Ungasan,14-Sep-2024
Saloka Fest 2024,Musik," Jl. Fatmawati No.154, Gumuksari, Lopait, Kec. Tuntang, Kabupaten Semarang, Jawa Tengah 50773",Semarang,Saloka Theme Park,23-Jun-2024
Bunkasai 2024,Budaya,"Jl. Imam Bonjol No.207, Pendrikan Kidul, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50131",Semarang,Pendrikan Kidul,23-Jun-2024
Wishlist celebration,Musik,Garut,Garut,Garut,05-Nov-2024
KIND OF DREAM FESTIVAL 2024,Musik,Lapang parkir Bale Tingtrim,Banten,"Jalan Otto Iskandardinata No. 64, Tarogong, Pananjung, Cimanganten, Kec. Tarogong Kaler, Kabupaten Garut, Jawa Barat 44151",15-Jun-2024
CREATHRIFT MARKET 2024,Entertainment,"Jl. Pongtiku No.33 , Makale Tana Toraja - Sulawesi Selatan", Sulawesi Selatan,Makale Tana Toraja,09-Jun-2024
Ultra Beach Bali 2024,Musik,"RW No.10, Gunung Sahari Selatan, Kemayoran, RW.10, Pademangan Tim., Kec. Pademangan, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14410",Jakarta,JIEXPO Kemayoran Hall C3,07-Jun-2024
Asia Baby Children Maternity Expo 2024 (ABC & MOM),Lainnya,"RW No.10, Gunung Sahari Selatan, Kemayoran, RW.10, Pademangan Tim., Kec. Pademangan, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14410",DKI Jakarta,JIEXPO Kemayoran Hall C3,21-Nov-2024
INTERNATIONAL TEXTILE EXPO (INTEX) INDONESIA 2024,Bisnis,"Spring Hill Office Tower, 20th Floor",DKI Jakarta,"Spring Hill Office Tower, 20th Floor",07-Jun-2024
Bali Instagram Tour,Wisata,Jl.Imam Bonjol No 288 Denpasar Bali - Indonesia,Bali,Sabalad Travel,27-Jul-2024
Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"Jl.GUNUNG ABANG 3 , DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,Sabalad Travel,16-Sep-2024
HSE Acceleration Program - Emergency Response Plan,Lainnya,"Jl. M.H. Thamrin No.3, RT.10/RW.10, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",DKI Jakarta,Menara Thamrin Level 3A / 09,29-Oct-2024
TAST 2K24,Musik,"Jl. Wangisagara, Wangisagara, Kec. Majalaya, Kabupaten Bandung, Jawa Barat 40382",Bandung,"SMA NEGERI 2 MAJALAYA, Jawa Barat",05-May-2024
MARKETEERS TECH FOR BUSINESS 2024,Bisnis,"Jl. Gatot Subroto No.Kav. 94, RT.11/RW.3, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",DKI Jakarta,Smesco Indonesia,21-Oct-2024
HIROACOUSTIC Vol.2 : Show Tengah Tahun,Musik,Go Work Kemang X,DKI Jakarta,Go Work Kemang X,09-May-2024
NEBS FESTIVAL,Musik,"Jl.KS Tubun Dalam, No. 108, RT004 RW004, Koang Jaya, Kec. Tangerang, Kota Tangerang, Banten 15112",Banten,KS Tubun Dalam,04-Jul-2024
"REGISTRATION BALINESE CULTURE WORKSHOP SESSION 1 ""BHUMI KERTHI : CITRABHINEKA""",Budaya,"Jl. Dharmawangsa, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361", Bali,Politeknik Pariwisata Bali,18-Sep-2024
Tahu Tech - Adaptasi Digital : Kiat Efektif Tracking Cash Flow UKM,Bisnis,"Jl. Gatot Subroto No.Kav. 94, RT.11/RW.3, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",DKI Jakarta,Smesco Indonesia,22-Sep-2024
JOURNEY IN HARMONY,Musik,"Jl. Kemang Dalam X No.M1B, RT.5/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",DKI Jakarta,"Krapela, Row 9",29-May-2024
Get Well Talk - Bahagia Tanpa PMS,Education,"Berrybenka Headquarter 1st Floor, Jalan K.H Mas Mansyur Nomo 18, Kel. Karet Tengsin, Kec. Tanah Abang. Jakarta Pusat. DKI Jakarta",DKI Jakarta,"Berrybenka Headquarter 1st Floor, Jalan K.H Mas Mansyur Nomo 18, Kel. Karet Tengsin, Kec. Tanah Abang. Jakarta Pusat. DKI Jakarta",01-Nov-2024
SwipeRx IPEC -Jakarta,Education,"Berrybenka Headquarter 1st Floor, Jalan K.H Mas Mansyur Nomo 18, Kel. Karet Tengsin, Kec. Tanah Abang. Jakarta Pusat. DKI Jakarta",DKI Jakarta,"Berrybenka Headquarter 1st Floor, Jalan K.H Mas Mansyur Nomo 18, Kel. Karet Tengsin, Kec. Tanah Abang. Jakarta Pusat. DKI Jakarta",23-Aug-2024
Dog Yoga with Beyond Bliss 25 May 2024,Lainnya,Summarecon Mall Kelapa Gading,DKI Jakarta,Summarecon Mall Kelapa Gading,24-Nov-2024
Parenting with Heart - Mengelola Pikiran dan Perasaan Positif,Lainnya,"Jl. Merapi 18, Klaten, Jawa Tengah, Indonesia",Klaten,"Jl. Merapi 18, Klaten, Jawa Tengah, Indonesia",13-Aug-2024
